year,country,qe_yc,export_dummy,qi_yc,import_dummy,qe_y,qe_y12,qi_y,qi_y12,month_num,date,price_ym,trend,costs_ymc,teaPrices_ym,importGDP,importGDP12,retailPrices,kilian,disease1,disease2,frost1,frost2,droughts,costs_ym,costs_ym_export,teaPrices_y,costs_y_export,price_y,disease1_y,disease2_y,frost1_y,frost2_y,droughts_y,costs_yc,id,dummy_ym,dummy_y,seq_ym,min_seq_ym,dummy_yc,dummy_brazil,dummy_colombia,dummy_vietnam,dummy_indonesia,dummy_leader,nexport_y,dummy_brazil_y,dummy_colombia_y,dummy_vietnam_y,dummy_indonesia_y,nleader_y,nfollower_y
1990,Angola,10582175.999999998,1,0,0,9685865692.8,807155474.4,27381380.399999995,2281781.6999999997,11,1990-11-01,70.1,11,85.6569,1.8418,45097787.47607422,3758148.956339518,117.8,-9.6407589,0,0,0,0,0,57.6672475,57.6672475,1.8418,53.23664262626263,71.5325,0,0,0,0,0,85.6569,0,1,0,11,1,0,0,0,0,0,0,50,1,1,1,1,4,46
1990,Angola,10582175.999999998,1,0,0,9685865692.8,807155474.4,27381380.399999995,2281781.6999999997,12,1990-12-01,72.83,12,85.6569,1.9381,45097787.47607422,3758148.956339518,117.4,-0.3650393,0,0,0,0,0,56.77459875,56.77459875,1.9381,53.23664262626263,71.5325,0,0,0,0,0,85.6569,0,1,0,12,1,0,0,0,0,0,0,50,1,1,1,1,4,46
1990,Benin,4497424.8,1,0,0,9685865692.8,807155474.4,27381380.399999995,2281781.6999999997,1,1990-01-01,62.75,1,51.9758,2.09,45097787.47607422,3758148.956339518,115.8,16.502056,0,0,0,0,0,50.63444880952381,50.63444880952381,2.09,53.23664262626263,71.5325,0,0,0,0,0,53.76087777777778,1,0,0,1,1,1,0,0,0,0,0,50,1,1,1,1,4,46
1990,Benin,4497424.8,1,0,0,9685865692.8,807155474.4,27381380.399999995,2281781.6999999997,2,1990-02-01,67.01,2,52.5875,2.133,45097787.47607422,3758148.956339518,116,13.06719,0,0,0,0,0,50.28787380952381,50.28787380952381,2.133,53.23664262626263,71.5325,0,0,0,0,0,53.76087777777778,1,0,0,2,1,0,0,0,0,0,0,50,1,1,1,1,4,46
1990,Benin,4497424.8,1,0,0,9685865692.8,807155474.4,27381380.399999995,2281781.6999999997,3,1990-03-01,75.25,3,52.02,2.4239,45097787.47607422,3758148.956339518,115.1,12.514955,0,0,0,0,0,51.97712380952381,51.97712380952381,2.4239,53.23664262626263,71.5325,0,0,0,0,0,53.76087777777778,1,0,0,3,1,0,0,0,0,0,0,50,1,1,1,1,4,46
1990,Benin,4497424.8,1,0,0,9685865692.8,807155474.4,27381380.399999995,2281781.6999999997,4,1990-04-01,75.34,4,52.8045,2.1149,45097787.47607422,3758148.956339518,114.9,2.6783242,0,0,0,0,0,51.766283333333334,51.766283333333334,2.1149,53.23664262626263,71.5325,0,0,0,0,0,53.76087777777778,1,0,0,4,1,0,0,0,0,0,0,50,1,1,1,1,4,46
1990,Benin,4497424.8,1,0,0,9685865692.8,807155474.4,27381380.399999995,2281781.6999999997,5,1990-05-01,73.3,5,53.4723,2.1515,45097787.47607422,3758148.956339518,116.9,-6.2257547,0,0,0,0,0,51.96144523809524,51.96144523809524,2.1515,53.23664262626263,71.5325,0,0,0,0,0,53.76087777777778,1,0,0,5,1,0,0,0,0,0,0,50,1,1,1,1,4,46
1990,Benin,4497424.8,1,0,0,9685865692.8,807155474.4,27381380.399999995,2281781.6999999997,6,1990-06-01,69.91,6,52.8474,1.9383,45097787.47607422,3758148.956339518,117.7,-15.054565,0,0,0,0,0,50.108222619047616,50.108222619047616,1.9383,53.23664262626263,71.5325,0,0,0,0,0,53.76087777777778,1,0,0,6,1,0,0,0,0,0,0,50,1,1,1,1,4,46
1990,Benin,4497424.8,1,0,0,9685865692.8,807155474.4,27381380.399999995,2281781.6999999997,7,1990-07-01,68.36,7,54.4259,1.9932,45097787.47607422,3758148.956339518,119.8,-25.036496,0,0,0,0,0,53.134682142857145,53.134682142857145,1.9932,53.23664262626263,71.5325,0,0,0,0,0,53.76087777777778,1,0,0,7,1,0,0,0,0,0,0,50,1,1,1,1,4,46
1990,Benin,4497424.8,1,0,0,9685865692.8,807155474.4,27381380.399999995,2281781.6999999997,8,1990-08-01,74.1,8,56.773,1.9604,45097787.47607422,3758148.956339518,119.7,-16.021422,0,0,0,0,0,50.5374575,50.5374575,1.9604,53.23664262626263,71.5325,0,0,0,0,0,53.76087777777778,1,0,0,8,1,0,0,0,0,0,0,50,1,1,1,1,4,46
1990,Benin,4497424.8,1,0,0,9685865692.8,807155474.4,27381380.399999995,2281781.6999999997,9,1990-09-01,75.55,9,56.9415,2.0253,45097787.47607422,3758148.956339518,119.6,-18.618849,0,0,0,0,0,55.70529756097561,55.70529756097561,2.0253,53.23664262626263,71.5325,0,0,0,0,0,53.76087777777778,1,0,0,9,1,0,0,0,0,0,0,50,1,1,1,1,4,46
1990,Benin,4497424.8,1,0,0,9685865692.8,807155474.4,27381380.399999995,2281781.6999999997,10,1990-10-01,73.89,10,NA,2.0797,45097787.47607422,3758148.956339518,119.1,-14.603462,0,0,0,0,0,58.862635,58.862635,2.0797,53.23664262626263,71.5325,0,0,0,0,0,53.76087777777778,1,0,0,10,1,0,0,0,0,0,0,50,1,1,1,1,4,46
1990,Benin,4497424.8,1,0,0,9685865692.8,807155474.4,27381380.399999995,2281781.6999999997,11,1990-11-01,70.1,11,NA,1.8418,45097787.47607422,3758148.956339518,117.8,-9.6407589,0,0,0,0,0,57.6672475,57.6672475,1.8418,53.23664262626263,71.5325,0,0,0,0,0,53.76087777777778,1,0,0,11,1,0,0,0,0,0,0,50,1,1,1,1,4,46
1990,Benin,4497424.8,1,0,0,9685865692.8,807155474.4,27381380.399999995,2281781.6999999997,12,1990-12-01,72.83,12,NA,1.9381,45097787.47607422,3758148.956339518,117.4,-0.3650393,0,0,0,0,0,56.77459875,56.77459875,1.9381,53.23664262626263,71.5325,0,0,0,0,0,53.76087777777778,1,0,0,12,1,0,0,0,0,0,0,50,1,1,1,1,4,46
1990,Bolivia,11243561.999999998,1,0,0,9685865692.8,807155474.4,27381380.399999995,2281781.6999999997,1,1990-01-01,62.75,1,42.1177,2.09,45097787.47607422,3758148.956339518,115.8,16.502056,0,0,0,0,0,50.63444880952381,50.63444880952381,2.09,53.23664262626263,71.5325,0,0,0,0,0,51.78024166666667,2,0,0,1,1,1,0,0,0,0,0,50,1,1,1,1,4,46
1990,Bolivia,11243561.999999998,1,0,0,9685865692.8,807155474.4,27381380.399999995,2281781.6999999997,2,1990-02-01,67.01,2,44.8691,2.133,45097787.47607422,3758148.956339518,116,13.06719,0,0,0,0,0,50.28787380952381,50.28787380952381,2.133,53.23664262626263,71.5325,0,0,0,0,0,51.78024166666667,2,0,0,2,1,0,0,0,0,0,0,50,1,1,1,1,4,46
1990,Bolivia,11243561.999999998,1,0,0,9685865692.8,807155474.4,27381380.399999995,2281781.6999999997,3,1990-03-01,75.25,3,44.3182,2.4239,45097787.47607422,3758148.956339518,115.1,12.514955,0,0,0,0,0,51.97712380952381,51.97712380952381,2.4239,53.23664262626263,71.5325,0,0,0,0,0,51.78024166666667,2,0,0,3,1,0,0,0,0,0,0,50,1,1,1,1,4,46
1990,Bolivia,11243561.999999998,1,0,0,9685865692.8,807155474.4,27381380.399999995,2281781.6999999997,4,1990-04-01,75.34,4,50.2583,2.1149,45097787.47607422,3758148.956339518,114.9,2.6783242,0,0,0,0,0,51.766283333333334,51.766283333333334,2.1149,53.23664262626263,71.5325,0,0,0,0,0,51.78024166666667,2,0,0,4,1,0,0,0,0,0,0,50,1,1,1,1,4,46
1990,Bolivia,11243561.999999998,1,0,0,9685865692.8,807155474.4,27381380.399999995,2281781.6999999997,5,1990-05-01,73.3,5,49.8052,2.1515,45097787.47607422,3758148.956339518,116.9,-6.2257547,0,0,0,0,0,51.96144523809524,51.96144523809524,2.1515,53.23664262626263,71.5325,0,0,0,0,0,51.78024166666667,2,0,0,5,1,0,0,0,0,0,0,50,1,1,1,1,4,46
1990,Bolivia,11243561.999999998,1,0,0,9685865692.8,807155474.4,27381380.399999995,2281781.6999999997,6,1990-06-01,69.91,6,46.995,1.9383,45097787.47607422,3758148.956339518,117.7,-15.054565,0,0,0,0,0,50.108222619047616,50.108222619047616,1.9383,53.23664262626263,71.5325,0,0,0,0,0,51.78024166666667,2,0,0,6,1,0,0,0,0,0,0,50,1,1,1,1,4,46
1990,Bolivia,11243561.999999998,1,0,0,9685865692.8,807155474.4,27381380.399999995,2281781.6999999997,7,1990-07-01,68.36,7,52.2361,1.9932,45097787.47607422,3758148.956339518,119.8,-25.036496,0,0,0,0,0,53.134682142857145,53.134682142857145,1.9932,53.23664262626263,71.5325,0,0,0,0,0,51.78024166666667,2,0,0,7,1,0,0,0,0,0,0,50,1,1,1,1,4,46
1990,Bolivia,11243561.999999998,1,0,0,9685865692.8,807155474.4,27381380.399999995,2281781.6999999997,8,1990-08-01,74.1,8,51.7773,1.9604,45097787.47607422,3758148.956339518,119.7,-16.021422,0,0,0,0,0,50.5374575,50.5374575,1.9604,53.23664262626263,71.5325,0,0,0,0,0,51.78024166666667,2,0,0,8,1,0,0,0,0,0,0,50,1,1,1,1,4,46
1990,Bolivia,11243561.999999998,1,0,0,9685865692.8,807155474.4,27381380.399999995,2281781.6999999997,9,1990-09-01,75.55,9,60.2512,2.0253,45097787.47607422,3758148.956339518,119.6,-18.618849,0,0,0,0,0,55.70529756097561,55.70529756097561,2.0253,53.23664262626263,71.5325,0,0,0,0,0,51.78024166666667,2,0,0,9,1,0,0,0,0,0,0,50,1,1,1,1,4,46
